Timestamp,Stock,Parameters,Cross-Val Accuracy,Test Accuracy,Training Time (s)
2025-03-09 15:15:42,A,"{""class_weight"": null, ""max_depth"": 100, ""max_features"": null, ""min_samples_leaf"": 9, ""min_samples_split"": 44, ""n_estimators"": 54}",0.569,0.5673,9.65
2025-03-09 15:15:54,A,"{""class_weight"": null, ""max_depth"": 20, ""max_features"": ""log2"", ""min_samples_leaf"": 28, ""min_samples_split"": 4, ""n_estimators"": 338}",0.574,0.5645,22.12
2025-03-11 18:17:21,A,"{""class_weight"": null, ""max_depth"": 15, ""max_features"": null, ""min_samples_leaf"": 16, ""min_samples_split"": 33, ""n_estimators"": 157}",0.5863,0.5722,13.07
2025-03-11 18:18:09,A,"{""class_weight"": null, ""max_depth"": 100, ""max_features"": ""log2"", ""min_samples_leaf"": 30, ""min_samples_split"": 19, ""n_estimators"": 307}",0.591,0.5698,60.84
2025-03-11 18:18:41,A,"{""class_weight"": null, ""max_depth"": null, ""max_features"": null, ""min_samples_leaf"": 23, ""min_samples_split"": 38, ""n_estimators"": 110}",0.6073,0.5934,92.79
2025-03-11 18:20:10,A,"{""class_weight"": null, ""max_depth"": 100, ""max_features"": null, ""min_samples_leaf"": 30, ""min_samples_split"": 26, ""n_estimators"": 483}",0.6095,0.5627,182.13
